DATE,new_private_house
2003-08-01,1570.0
2003-09-01,1719.0
2003-10-01,1728.0
2003-11-01,1692.0
2003-12-01,1716.0
2004-01-01,1709.0
2004-02-01,1718.0
2004-03-01,1794.0
2004-04-01,1938.0
2004-05-01,1893.0
2004-06-01,1857.0
2004-07-01,1881.0
2004-08-01,1911.0
2004-09-01,1796.0
2004-10-01,1839.0
2004-11-01,1758.0
2004-12-01,1921.0
2005-01-01,1892.0
2005-02-01,1908.0
2005-03-01,1787.0
2005-04-01,1927.0
2005-05-01,2103.0
2005-06-01,1965.0
2005-07-01,1886.0
2005-08-01,1952.0
2005-09-01,1922.0
2005-10-01,1962.0
2005-11-01,1907.0
2005-12-01,1941.0
2006-01-01,2036.0
2006-02-01,2048.0
2006-03-01,2245.0
2006-04-01,2071.0
2006-05-01,1897.0
2006-06-01,2050.0
2006-07-01,1934.0
2006-08-01,1877.0
2006-09-01,2011.0
2006-10-01,1918.0
2006-11-01,1893.0
2006-12-01,1888.0
2007-01-01,1822.0
2007-02-01,1640.0
2007-03-01,1623.0
2007-04-01,1539.0
2007-05-01,1536.0
2007-06-01,1481.0
2007-07-01,1534.0
2007-08-01,1512.0
2007-09-01,1356.0
2007-10-01,1405.0
2007-11-01,1390.0
2007-12-01,1328.0
2008-01-01,1331.0
2008-02-01,1274.0
2008-03-01,1195.0
2008-04-01,1022.0
2008-05-01,1142.0
2008-06-01,1142.0
2008-07-01,1087.0
2008-08-01,1017.0
2008-09-01,1160.0
2008-10-01,1055.0
2008-11-01,1076.0
2008-12-01,1021.0
2009-01-01,777.0
2009-02-01,819.0
2009-03-01,839.0
2009-04-01,846.0
2009-05-01,818.0
2009-06-01,797.0
2009-07-01,797.0
2009-08-01,792.0
2009-09-01,721.0
2009-10-01,746.0
2009-11-01,844.0
2009-12-01,750.0
2010-01-01,689.0
2010-02-01,670.0
2010-03-01,635.0
2010-04-01,737.0
2010-05-01,702.0
2010-06-01,894.0
2010-07-01,572.0
2010-08-01,592.0
2010-09-01,632.0
2010-10-01,605.0
2010-11-01,552.0
2010-12-01,565.0
2011-01-01,520.0
2011-02-01,615.0
2011-03-01,591.0
2011-04-01,549.0
2011-05-01,549.0
2011-06-01,579.0
2011-07-01,634.0
2011-08-01,614.0
2011-09-01,603.0
2011-10-01,566.0
2011-11-01,585.0
2011-12-01,610.0
2012-01-01,545.0
2012-02-01,561.0
2012-03-01,582.0
2012-04-01,671.0
2012-05-01,626.0
2012-06-01,625.0
2012-07-01,676.0
2012-08-01,684.0
2012-09-01,652.0
2012-10-01,730.0
2012-11-01,668.0
2012-12-01,677.0
2013-01-01,714.0
2013-02-01,729.0
2013-03-01,816.0
2013-04-01,712.0
2013-05-01,708.0
2013-06-01,736.0
